,State,Year,GDP,RPPS,Unemployment,Per_Capita_Income,Population,Per_Capita_Expenditure,Crime_Rate,Property_Crime_Rate,Durable goods,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Nondurable goods,Services
0,Alabama,2012,188280.7,90.515,2503656.0,35559.0,4839947.0,28915.73,175.03333333333333,295.38416666666666,15071.9,2345.6,38133.8,86744.9
1,Alabama,2013,193981.5,90.273,2523020.0,35706.0,4865253.0,29588.74,193.59,283.43333333333334,15563.2,2426.9,38918.1,89475.4
2,Alabama,2014,197064.4,90.137,2552256.0,36722.0,4887757.0,30358.63,185.5583333333333,266.22583333333336,16111.1,2459.2,39738.2,92536.3
3,Alabama,2015,203113.3,89.706,2587641.0,38189.0,4909177.0,31123.44,192.90166666666667,249.52416666666667,16899.9,2506.5,39352.7,96537.9
4,Alabama,2016,208824.3,90.58,2619761.0,38704.0,4931579.0,31999.1,201.3175,246.28583333333336,17507.2,2687.7,39302.5,100996.5
5,Alabama,2017,216615.5,90.098,2649222.0,39968.0,4953096.0,33014.38,192.7275,246.4,18177.0,2661.4,40458.7,104887.7
6,Alabama,2018,226263.8,87.388,2692424.0,41324.0,4977088.0,34048.06,185.55083333333334,236.01583333333335,18969.5,2539.0,42055.5,108435.2
7,Alabama,2019,234798.2,88.297,2712014.0,42998.0,5003778.0,35385.18,98.52416666666666,116.2325,19538.6,2422.4,43231.0,114290.0
8,Alabama,2020,235325.3,87.561,2670753.0,45843.0,5033094.0,34935.55,98.06416666666667,106.85333333333334,21327.1,3232.5,44797.5,109709.3
9,Alabama,2021,260018.4,88.072,2769122.0,50495.0,5049196.0,39391.58,109.50166666666667,120.115,26097.3,2333.2,51102.8,121695.7
10,Alabama,2022,284949.1,88.007,2854910.0,51660.0,5076181.0,42489.13,138.1825,145.15833333333333,27480.1,2996.9,55525.6,132676.8
11,Alaska,2012,58320.7,102.597,459282.0,53340.0,731106.0,42454.99,158.28833333333333,230.3083333333333,3154.0,1674.9,6322.7,21562.4
12,Alaska,2013,57533.0,102.079,461205.0,52252.0,738054.0,42914.48,153.63583333333332,242.19000000000003,3242.4,1755.1,6308.4,22122.5
